trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,0,-119.69255772156569,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,1,-101.05724335695191,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,2,-11.415842248026944,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-15.060114570071015,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,2,0.47595339915414936,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,0,5.839650346754313,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,13,27.42335410533698,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,6,13.858705456669764,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,10,18.501518536290234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,0,-3.7890933067199324,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,13,23.316979583868182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,0.7527079016888489,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,6,-4.179055518610797,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,12,6.807656258031935,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,0,8.066683160602125,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,7,4.753168603807637,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,-36.96957381559856,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",35,21,-28.039866030804376,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,12,13.993272213448508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,16,6.839619798602555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,3,-0.12615125880947575,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,16,15.847302752183044,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,0,-19.946174595545443,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,6,19.591777429492243,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,0,-0.20366169889317698,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",30,12,8.372050123225115,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",35,23,14.30031545059342,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,0,13.331670237467495,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,8,15.725228697560802,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",35,19,-22.333615613333695,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",25,11,20.40740665234661,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",25,5,-22.613336383179092,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,14,-4.320901570387401,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,10,10.807215074200354,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",20,7,22.73762532190534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,9,19.865783976066467,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",30,8,-7.399949067933226,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,11,6.619606785154469,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,13,24.02076655538506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,11,21.732418373375957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
